Date,Revenue,MarketingSpend,Month,Year,Lag_Revenue_1,Lag_Revenue_2,Rolling_3_Mean,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2026-07-30,325003.65,19462.88,7,2026,324739.93,329870.71,328092.8433333333,0,0,0,0,0,0,1,0,0,0,0,0
2026-08-30,326652.17,19862.88,8,2026,325003.65,324739.93,326538.0966666667,0,0,0,0,0,0,0,1,0,0,0,0
2026-09-30,327209.77,20262.88,9,2026,326652.17,325003.65,325465.25,0,0,0,0,0,0,0,0,1,0,0,0
2026-10-30,327219.91,20662.88,10,2026,327209.77,326652.17,326288.53,0,0,0,0,0,0,0,0,0,1,0,0
2026-11-30,327109.83,21062.88,11,2026,327219.91,327209.77,327027.28333333327,0,0,0,0,0,0,0,0,0,0,1,0
2026-12-30,327421.22,21462.88,12,2026,327109.83,327219.91,327179.83666666667,0,0,0,0,0,0,0,0,0,0,0,1
